,Text,Topic,Cluster
0,Sell itself. Buy out the company or sell it to another entity in order to reduce costs and reduce debts.,sell itself,1.0
1,"Sell part of the company. In this case, the management wants to reduce the size of the company and keep the business in the market. This might not necessarily include selling the main line of production at a higher price, as the company could also choose to sell a lesser line of products from the factory.",sell part of the company,1.0
2,Sell its subsidiary. The company or its parent company could be interested in trading the business or assets in order to cut its expenses and allow it to stay afloat.,sell its subsidiary,1.0
3,"Sell the business. In most cases this is the ultimate solution, since most of the current losses are incurred by doing business in a state of severe under-capitalization.",sell the business,1.0
4,"Sell off its assets. Any company that is under a lot of financial stress will not want to keep any of its assets. After assessing the assets and liabilities, the company management can decide whether to sell off some assets or continue to hold the old assets and retain the new liabilities.",sell off its assets,1.0
5,Consider selling company. A company facing declining profits and increasing costs can consider selling the company to another company in which they are already an equal partner.,consider selling company,1.0
6,"Sell a company asset. An asset sale would likely be the most sustainable and low risk, but would require a lot of careful planning and planning skills to pull off. A company could, for example, sell the old company car.",sell a company asset,1.0
7,Close offices. Closure of the company’s headquarters or the branch office and lay off employees are the best ways to reduce costs.,close offices,2.0
8,"Close its retail stores. It may not make any financial sense to liquidate its retail stores, but the company management may decide not to renew leases with the current retail partners.",close its retail stores,2.0
9,"Close a department. After laying off employees and taking a loan, the company could close its finance department and restructure the company's internal accounting and human resources functions.",close a department,2.0
10,"Close the business. A company could consider selling its operation, if it has a huge debt that cannot be rolled over, but it would then be in a much financially better position to refinance the debt.",close the business,2.0
11,"Close down the company. It’s a risky move, especially if the company doesn’t have cash. But if the company has accumulated debts and no way of paying them, it could sell off everything that it can. The company could also close down its offices to prevent clients from inquiring about the situation of the company’s accounts or the status of its loans.",close down the company,2.0
12,Close out business deals. In case of problems the management can take a break and let the clients know that the company has to suspend its services till the problem is resolved.,close out business deals,2.0
13,"Close the plant. If the core team agrees to this, the company can close its existing company-owned plant or acquire such a plant from a competitor.",close the plant,2.0
14,Close a branch. Cloning the branch is very risky and expensive. It will reduce its sales volume and decrease its profits. The branch could be shut down gradually over a period of time.,close a branch,2.0
15,"Go out of business. If possible, take a company name and rebrand. This would give back an image and marketability to the business.",go out of business,2.0
16,"Sell or close its stores. A major company such as Disney, whose core business is amusement parks, has always believed in maintaining its stores, however, the need has changed to the point that the company was forced to close its amusement parks in the US because its parent company decided that the parks were no longer profitable. Similarly, another major company was forced to close a majority of its operations in South Korea due to the Korean economic crisis.",sell or close its stores,2.0
17,Close one or more stores. This will save the company money in the short term if it closes stores for certain time periods in order to consolidate. It could also close stores permanently as its stores are not the main source of income.,close one or more stores,2.0
18,"Exit. If the company sells or closes, the management should consider selling everything as a going concern with 100% equity. This way they will take much smaller capital losses during the lifetime of the company.",exit,2.0
19,"Cut staff. The company managers could lay off 20-30% of their staff, freeing them up to work on other projects in the company.",cut staff,3.0
20,Reduce staff by 20-30%. Having to lay off over 20 staff members does not have to be the end of the world though.,reduce staff by 20-30%,3.0
21,"Reduce payroll. If the company would need to increase their production cost or reduce its payroll size, it should consider reducing it in the immediate term.",reduce payroll,3.0
22,Reduce salaries. Many times the costs of salaries are underestimated. This could result in the loss of hundreds of thousands of dollars. The company could look into outsourcing the salaries to save the money.,reduce salaries,3.0
23,Cut off the perks. This is an easy way to cut costs.,cut off the perks,3.0
24,"Reduce employee turnover. As a result of reducing employee turnover, company's employees will find the company more profitable due to better business practices.",reduce employee turnover,3.0
25,Cut personnel. The company could attempt to get rid of the extra expenses by consolidating the current team in to smaller units.,cut personnel,3.0
26,Take a salary reduction. The company could reduce employee salaries until the savings are made from further efforts to cut marketing and marketing costs.,take a salary reduction,3.0
27,"Cut benefits. Benefits could be cut, but most would be maintained.",cut benefits,3.0
28,Cut services. This is the first one which people don’t like to do due to the impact on other businesses. It could save up to 50% in the long run.,cut services,3.0
29,"Hire fewer staff. If an employee joins the company, he or she will be treated as independent contractors and will receive no benefits.",hire fewer staff,3.0
30,"Reduce the staff. Employees may not have enough savings, and could use it for other expenses. Another way out is for the business to merge with another firm.",reduce the staff,3.0
31,Reduce staff training. Staff could be trimmed down temporarily to deal with the financial crunch.,reduce staff training,3.0
32,"Don’t take a salary cut. It is better to try and attract new customers by having more work, rather than make cutbacks to lower your expenses.",don’t take a salary cut,3.0
33,Cut payroll and benefits.,cut payroll and benefits,3.0
